TF,Cell type,Genome,GEO ID
CTCF,iSLK,hg19,"['GSM4099493', 'GSM4099495', 'GSM4099497']"
CTCFL,Fallopian Tubes,hg19,['GSM3830030']
CTCFL,K-562,hg19,['GSM1817655']
CTCFL,KELLY,hg19,"['GSM2752680', 'GSM2752681', 'GSM2752694', 'GSM2752695', 'GSM2752706', 'GSM2752707', 'GSM3172682', 'GSM3172683', 'GSM3172690', 'GSM3172691', 'GSM3172694', 'GSM3172695']"
CTCFL,MCF-7,hg19,"['GSM1817668', 'GSM1817669']"
CTCFL,NHDF,hg19,['GSM1817671']
CTCFL,OVCAR-8,hg19,['GSM1817663']
CTCFL,TC-32,hg19,"['GSM3172711', 'GSM3172712']"
CTCFL,TC-71,hg19,"['GSM3172719', 'GSM3172720']"
CTCFL,delta-47,hg19,['GSM1817659']
CTF4,Unclassified,sacCer3,"['GSM3333476', 'GSM3333477', 'GSM3333478', 'GSM3333479', 'GSM3333480', 'GSM3333481', 'GSM3333488', 'GSM3333489', 'GSM3333490', 'GSM3333491', 'GSM3333492', 'GSM3333493', 'GSM3333494', 'GSM3333495', 'GSM3333496', 'GSM3333497', 'GSM3333498', 'GSM3333499', 'GSM3333500', 'GSM3333501', 'GSM3333502']"
CTNNB1,Hep G2,hg19,"['GSM4026849', 'GSM4026850']"
CTNNB1,K-562,hg19,"['GSM3315720', 'GSM3315721']"
CTNNB1,LS-180,hg19,"['GSM791407', 'GSM791408']"
CTNNB1,MCF-7,hg19,"['GSM3422095', 'GSM3422096']"
CTNNB1,SUM 149PT,hg19,"['GSM3422097', 'GSM3422098']"
CTNNB1,SW 480,hg19,['GSM1303695']
CTNNB1,hESC H1,hg19,"['GSM2635678', 'GSM2635679', 'GSM1579345', 'GSM1579346']"
CTNNB1,hESC SA121,hg19,"['GSM1412239', 'GSM1412241', 'GSM1412243']"
CTNNB1,hESC derived neural cells,hg19,"['GSM2994923', 'GSM2994925']"
CTNNB1,iPS derived chondrocytes,hg19,"['GSM3873119', 'GSM3873120', 'GSM3873121', 'GSM3873122', 'GSM3873123', 'GSM3873124']"
CTR9,THP-1,hg19,['GSM1520910']
CTR9,Unclassified,sacCer3,['-']
CUL4A,U2OS,hg19,['GSM3147769']
CUX1,GM12878,hg19,['GSM1003604']
CUX1,K-562,hg19,"['GSM1003622', 'GSM2439234', 'GSM2439235', 'GSM2439236', 'GSM2439238', 'GSM2439239', 'GSM2439240']"
CXXC1,Erythroblasts,hg19,"['GSM3132538', 'GSM3132539']"
CXXC1,Lymphoblastoid cell line,hg19,"['GSM3132550', 'GSM3132551']"
CXXC1,SEM,hg19,['GSM1934100']
Cap-D3,S2R+,dm3,"['GSM1919990', 'GSM1919993']"
Cap-H2,Kc167,dm3,"['GSM3346516', 'GSM3346517', 'GSM1363354', 'GSM1535964', 'GSM1535965', 'GSM1535966', 'GSM1535967']"
Carm1,Neural Stem Cells,mm9,['GSM2928427']
Cas9,Hypothalamus,mm9,"['GSM3062940', 'GSM3062941', 'GSM3062942', 'GSM3062943', 'GSM3062946', 'GSM3062947', 'GSM3062948', 'GSM3062949', 'GSM3062953', 'GSM3062954']"
Cas9,K-562,hg19,"['GSM4057514', 'GSM4057515']"
Cas9,NCCIT,hg19,"['GSM3028652', 'GSM3028653', 'GSM3028654', 'GSM3521317', 'GSM3521322', 'GSM3521327']"
Cas9,Neuro-2a,mm9,"['GSM3062944', 'GSM3062945', 'GSM3062950', 'GSM3062951']"
Cas9,Neurospheres,mm9,"['GSM2249844', 'GSM2249846', 'GSM2249847']"
Cas9,Retina,mm9,"['GSM2723870', 'GSM2723871', 'GSM2723872', 'GSM2723873']"
Cbfa2t2,Embryonic Stem Cells,mm9,"['GSM1842787', 'GSM1922468', 'GSM1922469', 'GSM1922470', 'GSM1922471', 'GSM1922472', 'GSM1922473', 'GSM1922474']"
Cbfa2t3,Embryoid Bodies,mm9,"['GSM2808749', 'GSM2808751']"
Cbfa2t3,HPC-7,mm9,['-']
Cbfa2t3,Trophoblast stem cells,mm9,"['GSM3019276', 'GSM3019277']"
Cbfb,CD4-Positive T-Lymphocytes,mm9,"['GSM999189', 'GSM3744545']"
Cbfb,CD8 T cells,mm9,"['GSM2471915', 'GSM2471916']"
Cbfb,CD8-Positive T-Lymphocytes,mm9,"['GSM2471917', 'GSM3744547']"
Cbfb,Embryonic liver,mm9,"['GSM2412759', 'GSM2412760', 'GSM2412761']"
Cbfb,L8057,mm9,"['GSM832312', 'GSM832316']"
Cbfb,Lymphoid cells,mm9,"['GSM3387244', 'GSM3387245', 'GSM3387249', 'GSM3387250']"
Cbfb,Thymocytes,mm9,"['GSM832322', 'GSM832326', 'GSM2412762', 'GSM2412763', 'GSM2412764']"
Cbfb,Treg,mm9,['GSM999188']
Cbx1,Embryonic Stem Cells,mm9,"['GSM1827008', 'GSM2582369', 'GSM2582370', 'GSM2582371', 'GSM2582380', 'GSM2582381']"
Cbx1,mESC derived neural cells,mm9,"['GSM1413860', 'GSM1413861']"
Cbx2,Embryonic Stem Cells,mm9,"['GSM2080677', 'GSM2293301', 'GSM2293303', 'GSM2393582']"
Cbx2,MEF,mm9,"['GSM3551845', 'GSM3551846', 'GSM3551848', 'GSM3551850', 'GSM3551851']"
Cbx2,mESC derived cardiac cells,mm9,['GSM1657389']
Cbx2,mESC derived neural cells,mm9,['GSM2393588']
Cbx3,Embryonic Stem Cells,mm9,"['GSM1081158', 'GSM2465051', 'GSM2465052', 'GSM2582375', 'GSM2582376', 'GSM2582377', 'GSM2582384', 'GSM2582385', 'GSM2582389', 'GSM2582390', 'GSM2582391']"
Cbx3,Hippocampus,mm9,"['GSM3442879', 'GSM3442880', 'GSM3442881', 'GSM3442882']"
Cbx3,iPS cells,mm9,['GSM1081159']
Cbx3,mESC derived neural cells,mm9,"['GSM2384784', 'GSM2495243']"
Cbx5,Embryonic Stem Cells,mm9,"['GSM2467340', 'GSM2467341', 'GSM2582363', 'GSM2582364', 'GSM2582365', 'GSM2936709', 'GSM2936710', 'GSM2936711', 'GSM2936712', 'GSM2936713', 'GSM2936714', 'GSM2936715', 'GSM2936716']"
Cbx5,Liver,mm9,"['GSM717564', 'GSM717565']"
Cbx7,Embryonic Stem Cells,mm9,"['GSM820726', 'GSM820727', 'GSM1041373', 'GSM2356584', 'GSM2356585', 'GSM2356586', 'GSM2356587', 'GSM2393581', 'GSM2610619', 'GSM4029205', 'GSM4029206', 'GSM4029207', 'GSM4029208', 'GSM4029209', 'GSM4029210', 'GSM4029217', 'GSM4029218', 'GSM4029231', 'GSM4029232', 'GSM4029233', 'GSM4029234', 'GSM4029235', 'GSM4029236', 'GSM1562337']"
Cbx7,Hematopoietic Stem Cells,mm9,['GSM898200']
Cbx8,Embryonic Stem Cells,mm9,"['GSM1306492', 'GSM1306493']"
Cbx8,Epidermal progenitor cells,mm9,"['GSM3070392', 'GSM3070393']"
Cbx8,Hematopoietic Stem Cells,mm9,['GSM898201']
Cbx8,mESC derived neural cells,mm9,['GSM2393587']
Ccnk,MLL-AF9 leukemic cell,mm9,"['GSM2907013', 'GSM2907014']"
Ccnt1,Th1 Cells,mm9,"['GSM1527702', 'GSM1527703']"
Ccnt1,Th2 Cells,mm9,['GSM1527704']
Ccnt1,Unclassified,mm9,"['GSM1527685', 'GSM1527686', 'GSM1527714', 'GSM1527715']"
Cdc73,C2C12,mm9,"['GSM1865373', 'GSM1865375']"
Cdc73,Embryonic Stem Cells,mm9,"['GSM2299074', 'GSM2299075', 'GSM2299078', 'GSM2299079']"
Cdk12,3rd instar,dm3,"['GSM1704739', 'GSM1863991']"
Cdk8,Embryonic Stem Cells,mm9,"['GSM1082346', 'GSM2611275', 'GSM2611276', 'GSM2611279', 'GSM2611280']"
Cdk8,mESC derived neural cells,mm9,"['GSM2384792', 'GSM2384793']"
Cdk9,Embryonic Stem Cells,mm9,"['GSM828132', 'GSM1082347']"
Cdk9,Kc167,dm3,"['GSM3263387', 'GSM3263388', 'GSM3263389', 'GSM3263390']"
Cdk9,MEF,mm9,['GSM1106101']
Cdk9,MEL,mm9,['GSM1139139']
Cdk9,Macrophages,mm9,"['GSM545103', 'GSM545104', 'GSM545105', 'GSM545106', 'GSM2049389', 'GSM2049390']"
Cdk9,NIH/3T3,mm9,"['GSM1418772', 'GSM1418773', 'GSM1418774', 'GSM1418775']"
Cdk9,mESC derived haemogenic endothelium,mm9,"['GSM2788298', 'GSM2788299', 'GSM2788300']"
Cdx2,E8.5 embryos,mm9,['GSM3687284']
Cdx2,EpiSC,mm9,"['GSM2253707', 'GSM2253708']"
Cdx2,Intestinal villus,mm9,"['GSM607495', 'GSM851117', 'GSM851118', 'GSM851119']"
Cdx2,Trophoblast stem cells,mm9,['GSM1035392']
Cdx2,ZHBTc4,mm9,['GSM1246724']
Cebpa,3T3-L1,mm9,"['GSM427093', 'GSM1199134', 'GSM1199135', 'GSM1368011']"
Cebpa,B-Lymphocytes,mm9,"['GSM1830128', 'GSM1830129', 'GSM1264229', 'GSM1264230']"
Cebpa,BV-2,mm9,"['GSM1315480', 'GSM1315481', 'GSM1315482']"
Cebpa,Bone Marrow Cells,mm9,['GSM2771556']
Cebpa,Brown adipocytes,mm9,"['GSM2546551', 'GSM2546554']"
Cebpa,Brown preadipocytes,mm9,"['GSM1913004', 'GSM1913005', 'GSM1913006', 'GSM1913007', 'GSM1913008', 'GSM1913009', 'GSM1913010', 'GSM1913011', 'GSM2029176', 'GSM2029177', 'GSM2029178', 'GSM1218859', 'GSM1218860']"
Cebpa,Granulocytic-monocytic progenitors,mm9,"['GSM1347227', 'GSM1347228', 'GSM1347229', 'GSM1347230', 'GSM1347231', 'GSM1347232', 'GSM1566543']"
Cebpa,HAFTL,mm9,"['GSM1290080', 'GSM1290081', 'GSM1290082', 'GSM1290083', 'GSM1290084', 'GSM1290085', 'GSM1290086', 'GSM1290087']"
Cebpa,Hematopoietic Stem Cells,mm9,"['GSM1054815', 'GSM1142809', 'GSM1142810', 'GSM1187162', 'GSM1187163', 'GSM1187164', 'GSM1409207']"
Cebpa,Hematopoietic progenitors,mm9,['GSM2231898']
Cebpa,Hepatocytes,mm9,"['GSM427088', 'GSM2041450', 'GSM2041451', 'GSM2041452', 'GSM2041453', 'GSM1588476', 'GSM1588477', 'GSM1588478', 'GSM1588479']"
Cebpa,"Leukemia, Myeloid",mm9,"['GSM2692616', 'GSM2692617', 'GSM1545741', 'GSM1545742']"
Cebpa,Liver,mm9,"['-', '-', '-', '-', '-', '-', '-', '-', 'GSM1816817', 'GSM1816818', 'GSM1816819', 'GSM1816820', 'GSM1816821', 'GSM1816822', 'GSM1816823', 'GSM1816824', 'GSM1854432', 'GSM1854433', 'GSM1854434', 'GSM1854435', 'GSM1854436', 'GSM1854437', 'GSM1037657', 'GSM1037658', 'GSM1037659', 'GSM1037660', 'GSM1037661', 'GSM1037662', 'GSM1037663', 'GSM1037664', 'GSM3449864', 'GSM3449865', 'GSM3449866', 'GSM3449867', 'GSM3449868', 'GSM3449869', 'GSM3449888', 'GSM3449889', 'GSM3449890', 'GSM3449891', 'GSM3449892', 'GSM3449893', 'GSM3449894', 'GSM3449895']"
Cebpa,MLL-AF9 leukemic cell,mm9,"['GSM3392773', 'GSM3392774', 'GSM3392775', 'GSM3392776', 'GSM1614791', 'GSM1614792', 'GSM1614793', 'GSM1614794']"
Cebpa,Macrophages,mm9,"['GSM1183979', 'GSM1183980', 'GSM1223648']"
Cebpa,Mesenchymal stem cells,mm9,"['GSM2104126', 'GSM2104127', 'GSM2104162', 'GSM2104163', 'GSM2104230', 'GSM2104231']"
Cebpa,Myeloblasts,mm9,['GSM2771552']
Cebpa,Myeloid Progenitor Cells,mm9,"['GSM3308661', 'GSM3308663', 'GSM3308669', 'GSM3308670']"
Cebpa,Myeloid progenitors,mm9,['GSM2771547']
Cebpb,3T3-L1,mm9,"['GSM544720', 'GSM544721', 'GSM686970', 'GSM686971', 'GSM686972', 'GSM686973', 'GSM2257705', 'GSM2257706', 'GSM2257707', 'GSM2257708', 'GSM2257709', 'GSM2257710', 'GSM2257711', 'GSM2257712', 'GSM2257713', 'GSM2257714', 'GSM1368012']"
Cebpb,BV-2,mm9,"['GSM1315483', 'GSM1315484', 'GSM1315485']"
Cebpb,Bone Marrow Cells,mm9,['GSM2111328']
Cebpb,Brown adipocytes,mm9,"['GSM2546552', 'GSM2546555']"
Cebpb,Brown preadipocytes,mm9,"['GSM1218861', 'GSM1218862', 'GSM1219521', 'GSM1219522', 'GSM1219523', 'GSM1219524']"
Cebpb,C2C12,mm9,"['GSM915179', 'GSM915180']"
Cebpb,Dendritic Cells,mm9,"['GSM881135', 'GSM881135', 'GSM881136', 'GSM881136', 'GSM881136', 'GSM881136', 'GSM881136', 'GSM881136', 'GSM881137', 'GSM881138', 'GSM881138', 'GSM1531744', 'GSM1531745']"
Cebpb,Dermal fibroblasts,mm9,"['GSM1094254', 'GSM1094255']"
Cebpb,HAFTL,mm9,"['GSM1290088', 'GSM1290089', 'GSM1290090', 'GSM1290091', 'GSM1290092']"
Cebpb,Hematopoietic Stem Cells,mm9,['GSM989017']
Cebpb,Hematopoietic progenitors,mm9,['GSM2231899']
Cebpb,Liver,mm9,"['GSM2055885', 'GSM2055886', 'GSM1037665', 'GSM1037666', 'GSM1037667', 'GSM1037668', 'GSM1037669', 'GSM1037670', 'GSM1037671', 'GSM1037672', 'GSM1111749', 'GSM1122520', 'GSM1122521', 'GSM1122522', 'GSM1122523', 'GSM1122530', 'GSM1122531', 'GSM3449870', 'GSM3449871', 'GSM3449872', 'GSM3449873', 'GSM3449874', 'GSM3449875', 'GSM3449896', 'GSM3449897', 'GSM3449898', 'GSM3449899', 'GSM3449900', 'GSM3449901', 'GSM3449902', 'GSM3449903', 'GSM1446070', 'GSM1631168', 'GSM1631170']"
Cebpb,MC3T3-E1,mm9,"['GSM1027476', 'GSM1027494', 'GSM1027477', 'GSM1027495']"
Cebpb,Macrophages,mm9,"['GSM532742', 'GSM2425234', 'GSM2425235', 'GSM2425236', 'GSM2663833', 'GSM2663834', 'GSM2663835', 'GSM2663836', 'GSM2663837', 'GSM2974604', 'GSM2974605', 'GSM2974606', 'GSM2974607', 'GSM2974656', 'GSM2974657', 'GSM2974658', 'GSM2974659', 'GSM2974746', 'GSM2974747', 'GSM2974748', 'GSM2974749', 'GSM2974795', 'GSM2974796', 'GSM2974797', 'GSM2974798', 'GSM2974846', 'GSM2974847', 'GSM2974848', 'GSM2974849']"
Cebpb,Mesenchymal stem cells,mm9,"['GSM2104124', 'GSM2104125', 'GSM2104160', 'GSM2104161', 'GSM2104196', 'GSM2104197', 'GSM2104228', 'GSM2104229']"
Cebpb,Unclassified,mm9,"['GSM3025337', 'GSM3025339']"
Cebpb,mESC derived haematopoietic progenitor,mm9,"['GSM1692840', 'GSM1692844', 'GSM1692849']"
Cebpb,mESC derived macrophages,mm9,['GSM1692859']
Cebpb,mESC derived mesodermal cells,mm9,['GSM1692865']
Cebpb,mpkCCD,mm9,"['GSM2586798', 'GSM2586799', 'GSM2586800', 'GSM2586801']"
Cebpd,3T3-L1,mm9,"['GSM686974', 'GSM686975']"
Cebpd,Macrophages,mm9,"['GSM2663838', 'GSM2663839', 'GSM2663840', 'GSM2663841', 'GSM2663842']"
Cebpe,Bone Marrow Cells,mm9,"['GSM1904411', 'GSM1904412', 'GSM1904415', 'GSM1904416']"
Cebpg,MEF,mm9,['GSM1944507']
Chaf1b,MLL-AF9 leukemic cell,mm9,"['GSM3392767', 'GSM3392768']"
Chd1,CH12,mm9,['GSM1003803']
Chd1,MEL,mm9,['GSM1003805']
Chd2,CH12,mm9,['GSM912926']
Chd2,MEL,mm9,['GSM912929']
Chd4,3134,mm9,"['GSM1296403', 'GSM1296404']"
Chd4,B-Lymphocytes,mm9,"['GSM2184296', 'GSM2184310']"
Chd4,Bone Marrow Cells,mm9,"['GSM2985638', 'GSM2985639']"
Chd4,CD4 CD8 double negative cells,mm9,"['GSM1872306', 'GSM2985636', 'GSM2985637']"
Chd4,CD4 CD8 double positive cells,mm9,"['GSM803108', 'GSM803111']"
Chd4,Cerebellum,mm9,"['GSM2197668', 'GSM2197669', 'GSM2197670', 'GSM2197671']"
Chd4,Embryonic Stem Cells,mm9,"['-', '-', '-', '-', '-', '-', '-', '-', 'GSM687283', 'GSM687284', 'GSM2264176', 'GSM2264177', 'GSM2264178', 'GSM1206844', 'GSM3290445', 'GSM3290446', 'GSM3290462', 'GSM3290468', 'GSM3290474', 'GSM1571962']"
Chd4,Embryonic heart,mm9,"['GSM2927992', 'GSM2927993', 'GSM2927994']"
Chd4,NIH/3T3,mm9,['GSM3018646']
Chd4,Pro-B cells,mm9,"['GSM1296550', 'GSM1296551']"
Chd4,Scid.adh.2c2,mm9,"['GSM2985672', 'GSM2985673']"
Chd4,Unclassified,mm9,"['GSM1206814', 'GSM1206819']"
Chd4,iPS cells,mm9,"['GSM1206824', 'GSM1206832', 'GSM1206836', 'GSM1206840']"
Chd4,mESC derived neural cells,mm9,['GSM3290448']
Chd7,Cerebellar granule neurons,mm9,"['GSM2460978', 'GSM2460979']"
Chd7,Corpus Callosum,mm9,"['GSM3243604', 'GSM3243607']"
Chd7,Embryonic Stem Cells,mm9,['GSM558674']
Chd7,Myeloid Progenitor Cells,mm9,"['GSM2224436', 'GSM2224437', 'GSM2224440', 'GSM2224441', 'GSM2224444', 'GSM2224445', 'GSM2224448', 'GSM2224449']"
Chd7,Oligodendrocyte precursor cell,rn6,['GSM3214320']
Chd7,Oligodendrocytes,rn6,['GSM1869162']
Chd8,Brain,mm9,['GSM2644272']
Chd8,Corpus Callosum,mm9,['GSM3243610']
Chd8,Embryonic brains,mm9,"['GSM1381224', 'GSM1381225']"
Chd8,MLL-AF9 leukemic cell,mm9,"['GSM1829178', 'GSM1829180']"
Chro,14-16h embryos,dm3,"['GSM1147251', 'GSM1147252']"
Chro,Kc167,dm3,"['GSM1535973', 'GSM1535974', 'GSM1535975', 'GSM1535976']"
Clamp,3rd instar,dm3,"['GSM2203001', 'GSM2203003']"
Clamp,Embryos,dm3,"['GSM3374805', 'GSM3374806', 'GSM3374807', 'GSM3374808', 'GSM3374809', 'GSM3374810', 'GSM3374811', 'GSM3374812']"
Clamp,Kc,dm3,"['GSM959255', 'GSM959256', 'GSM959257', 'GSM959258']"
Clamp,Kc167,dm3,"['GSM2775110', 'GSM2775116', 'GSM2775117', 'GSM2775118', 'GSM2775127', 'GSM2775128', 'GSM3336808', 'GSM3336810', 'GSM3336812', 'GSM3336814']"
Clamp,S2,dm3,"['GSM959259', 'GSM959260', 'GSM959261', 'GSM959262', 'GSM959263', 'GSM959264', 'GSM959265', 'GSM959266', 'GSM2860389', 'GSM2860393', 'GSM2860401', 'GSM2860405', 'GSM2860409', 'GSM2860421', 'GSM2860425', 'GSM3381130', 'GSM3381131', 'GSM3381132', 'GSM3381133', 'GSM3381134', 'GSM3381135', 'GSM3381136', 'GSM3381137', 'GSM3381138', 'GSM3381139']"
Clock,Beta-TC-6,mm9,['GSM1824087']
Clock,Liver,mm9,"['GSM904671', 'GSM1145692', 'GSM1145693', 'GSM1145694', 'GSM1145695', 'GSM1145696', 'GSM1145697', 'GSM1145698', 'GSM1301669', 'GSM1301670', 'GSM3301811', 'GSM3301812', 'GSM3301813', 'GSM3301814', 'GSM3301825', 'GSM3301827', 'GSM3301829', 'GSM3301831']"
Cp190,14-16h embryos,dm3,"['GSM1147135', 'GSM1147136']"
Cp190,3rd instar,dm3,"['GSM1261702', 'GSM1261704']"
Cp190,5-13h embryos,dm3,"['GSM1481701', 'GSM1481702']"
Cp190,Kc167,dm3,"['GSM762836', 'GSM762837', 'GSM762838', 'GSM807541', 'GSM807542', 'GSM1101655', 'GSM2775114', 'GSM2775119', 'GSM1246068', 'GSM3336809', 'GSM3336811', 'GSM3336813', 'GSM3336815', 'GSM1363355', 'GSM1535977', 'GSM1535978', 'GSM1535979', 'GSM1535980']"
Cp190,Parasegment 7,dm3,"['GSM1481703', 'GSM1481704']"
Cp190,S2,dm3,"['GSM1015404', 'GSM1015405', 'GSM2536237', 'GSM2536238', 'GSM1133263', 'GSM1277517', 'GSM1277518', 'GSM1277520']"
Creb1,3T3-L1,mm9,"['GSM1095379', 'GSM1095380']"
Creb1,AR42J,rn6,"['GSM3604498', 'GSM3604499']"
Creb1,Brown preadipocytes,mm9,"['GSM2029179', 'GSM2029180', 'GSM2029181']"
Creb1,Hepatocytes,mm9,"['GSM2112340', 'GSM2112341', 'GSM2112342', 'GSM2112343', 'GSM2112344', 'GSM3604415', 'GSM3604416']"
Creb1,INS-1E,rn6,"['GSM3604422', 'GSM3604423', 'GSM3604424', 'GSM3604425', 'GSM3604426', 'GSM3604427', 'GSM3604428', 'GSM3604429', 'GSM3604442', 'GSM3604443', 'GSM3604444', 'GSM3604445', 'GSM3604484', 'GSM3604485', 'GSM3604486', 'GSM3604487', 'GSM3604492', 'GSM3604495']"
Creb1,Islets of Langerhans,mm9,"['GSM3604407', 'GSM3604408']"
Creb1,Kidney,mm9,"['GSM3898450', 'GSM3898451', 'GSM3898498', 'GSM3898499', 'GSM3898500', 'GSM3898513', 'GSM3898514', 'GSM3898515', 'GSM3898452', 'GSM3898453', 'GSM3898454', 'GSM3898455']"
Creb1,Liver,mm9,"['GSM1111738', 'GSM1111739', 'GSM1111740', 'GSM1111741', 'GSM1111742', 'GSM1111743', 'GSM1111744', 'GSM1111745', 'GSM1111746', 'GSM1111747', 'GSM2806543', 'GSM2806544', 'GSM2806545', 'GSM2806546', 'GSM2806547', 'GSM2806548', 'GSM2806549', 'GSM2806550', 'GSM2806551', 'GSM2806552', 'GSM2806553', 'GSM2806554']"
Creb1,MC3T3-E1,mm9,"['GSM1537596', 'GSM1537597', 'GSM1537598', 'GSM1537599']"
Creb1,Macrophages,mm9,"['GSM2663863', 'GSM2663864', 'GSM2663865', 'GSM2663866', 'GSM2663867', 'GSM2663868', 'GSM2663869', 'GSM2663870', 'GSM2663871', 'GSM2663872', 'GSM1581522', 'GSM1581523']"
Creb1,Monocytes,mm9,"['GSM3898528', 'GSM3898529', 'GSM3898530', 'GSM3898531', 'GSM3898532', 'GSM3898533']"
Creb1,Mushroom Bodies,dm3,"['GSM2152726', 'GSM2152727', 'GSM2152728', 'GSM2152729', 'GSM2152730', 'GSM2152731']"
Creb1,mpkCCD,mm9,"['GSM2586790', 'GSM2586791', 'GSM2586792', 'GSM2586793', 'GSM2586794', 'GSM2586795', 'GSM2586796', 'GSM2586797']"
Creb3l2,AtT-20,mm9,['GSM3856429']
Creb3l2,Trophoblast stem cells,mm9,"['GSM3019278', 'GSM3019279', 'GSM3019330']"
Crebbp,3T3-L1,mm9,"['GSM1199140', 'GSM1199141', 'GSM1368005', 'GSM1368006']"
Crebbp,B-Lymphocytes,mm9,"['GSM2427876', 'GSM2427877']"
Crebbp,Brown adipocytes,mm9,['GSM2522174']
Crebbp,Brown preadipocytes,mm9,"['GSM1913000', 'GSM1913001', 'GSM1913002', 'GSM1913003', 'GSM1913072', 'GSM1913073', 'GSM2029187', 'GSM2029188']"
Crebbp,CD4 CD8 double positive cells,mm9,['GSM726990']
Crebbp,Embryonic Stem Cells,mm9,"['GSM1246866', 'GSM3893777', 'GSM3893778', 'GSM3893779']"
Crebbp,EpiSC,mm9,['GSM2253706']
Crebbp,Hemangioblasts,mm9,"['GSM2298144', 'GSM2298145']"
Crebbp,Hematopoietic Stem Cells,mm9,['GSM621794']
Crebbp,INS-1E,rn6,"['GSM3604440', 'GSM3604441']"
Crebbp,Liver,mm9,"['-', 'GSM717566', 'GSM717567', 'GSM3679119', 'GSM3679120', 'GSM4090281', 'GSM4090282']"
Crebbp,MEF,mm9,"['GSM1315602', 'GSM1315603', 'GSM1315604', 'GSM1315605', 'GSM1315606', 'GSM1315607']"
Crebbp,Unclassified,mm9,['GSM2091492']
Crotonyl lysine,Germline stem cells,mm9,['GSM1713728']
Crotonyl lysine,Spermatocytes,mm9,"['GSM1713737', 'GSM1713738']"
Crtc1,Mushroom Bodies,dm3,"['GSM2152732', 'GSM2152733', 'GSM2152734', 'GSM2152735', 'GSM2152736', 'GSM2152737']"
Crtc2,3T3-L1,mm9,"['GSM2188003', 'GSM2188004', 'GSM2188005', 'GSM2188006']"
Crtc2,Hepatocytes,mm9,"['GSM3604417', 'GSM3604418']"
Crtc2,INS-1E,rn6,"['GSM3604438', 'GSM3604439']"
Crtc2,Islets of Langerhans,mm9,"['GSM3604409', 'GSM3604410']"
Crx,Retina,mm9,"['GSM499736', 'GSM499737', 'GSM499739', 'GSM499741']"
Cry1,Liver,mm9,['GSM1301673']
CtBP,Kc167,dm3,['GSM847768']
Ctcf,3T3-L1,mm9,"['GSM535747', 'GSM535754', 'GSM535761', 'GSM535768', 'GSM2515924', 'GSM2515925', 'GSM2515926', 'GSM2515927', 'GSM2515928', 'GSM2515929', 'GSM2515930', 'GSM2515931', 'GSM2515932', 'GSM2515933']"
Ctcf,AML12,mm9,"['GSM2496432', 'GSM2496433', 'GSM2496434', 'GSM2496435']"
Ctcf,AtT-20,mm9,['GSM2684854']
Ctcf,B-Lymphocytes,mm9,"['GSM672402', 'GSM836458', 'GSM2184318', 'GSM2184319', 'GSM2184320', 'GSM2184321', 'GSM2184322', 'GSM2184323', 'GSM1066043', 'GSM1066047', 'GSM1088169', 'GSM1132355', 'GSM1132357', 'GSM1132358', 'GSM2652788', 'GSM2652789', 'GSM2652790', 'GSM2652791', 'GSM3027981', 'GSM3027982', 'GSM3027983', 'GSM3027984', 'GSM3027985', 'GSM3027986']"
Ctcf,Bone Marrow Cells,mm9,"['GSM644975', 'GSM722636', 'GSM918757', 'GSM2535378', 'GSM2535379', 'GSM2535380', 'GSM2535381']"
Ctcf,Bone marrow stromal cells,mm9,"['GSM1973715', 'GSM1973716', 'GSM1973718', 'GSM1973719', 'GSM1973720', 'GSM1973721', 'GSM1973722']"
Ctcf,Brain,mm9,"['GSM862560', 'GSM862561', 'GSM1446329']"
Ctcf,Brain cortex,mm9,['GSM722631']
Ctcf,Brown preadipocytes,mm9,"['GSM1913028', 'GSM1913029', 'GSM1913030', 'GSM1913031']"
Ctcf,C2C12,mm9,"['GSM915188', 'GSM3771265', 'GSM3771266']"
Ctcf,CD4 CD8 double negative cells,mm9,"['GSM1023416', 'GSM2418362', 'GSM2418363', 'GSM2418364', 'GSM2418365']"
Ctcf,CD4 CD8 double positive cells,mm9,['GSM1023418']
Ctcf,CH12,mm9,"['GSM912909', 'GSM923568', 'GSM2587396', 'GSM2587397', 'GSM2587398', 'GSM2587399', 'GSM2587400', 'GSM3027977', 'GSM3027978', 'GSM3027979', 'GSM3027980', 'GSM3432416', 'GSM3432417', 'GSM3432431', 'GSM3432432']"
Ctcf,Cerebellar Cortex,mm9,['GSM918727']
Ctcf,Cerebellar Vermis,mm9,"['GSM3659842', 'GSM3659843', 'GSM3659846', 'GSM3659847']"
Ctcf,Cerebellum,mm9,"['GSM722663', 'GSM918759']"
Ctcf,Cortex,mm9,"['GSM2643062', 'GSM2643063', 'GSM2643058', 'GSM2643059', 'GSM2643060', 'GSM2643061', 'GSM2643064', 'GSM2643065']"
Ctcf,Dendritic Cells,mm9,"['GSM881052', 'GSM881053', 'GSM881054', 'GSM881055', 'GSM2232479', 'GSM2232480', 'GSM2232481', 'GSM2232482']"
Ctcf,Dorsal dermal cells,mm9,"['GSM3259343', 'GSM3259344', 'GSM3259345']"
Ctcf,ECOMG,mm9,['GSM2445203']
Ctcf,Ear dermal cells,mm9,"['GSM3259352', 'GSM3259353', 'GSM3259354']"
Ctcf,Embryoid Bodies,mm9,['GSM3386197']
